Date/Time,DISTRICT HEATING LOOP:Plant Supply Side Heating Demand Rate [W](Hourly),DISTRICT HEATING LOOP:Plant Supply Side Inlet Mass Flow Rate [kg/s](Hourly),DISTRICT HEATING LOOP:Plant Supply Side Outlet Temperature [C](Hourly),MAINZONE BASEBOARD:Baseboard Hot Water Energy [J](Hourly),MAINZONE BASEBOARD:Baseboard Total Heating Rate [W](Hourly),DISTRICT HEATING PUMP:Pump Electricity Rate [W](Hourly) ,timestamp,DryBulbTemp,RelHumidity,WindSpeed,DirectNormRad,DiffuseHorzRad,TotalSkyCover
 01/01  01:00:00,0.0,0.0,60.0,0.0,0.0,0.0,2009-01-01 01:00:00,12.0,94.0,5.7,0.0,0.0,5.0
 01/01  02:00:00,0.0,0.0,60.0,0.0,0.0,0.0,2009-01-01 02:00:00,12.0,94.0,6.2,0.0,0.0,3.0
 01/01  03:00:00,0.0,0.0,60.0,0.0,0.0,0.0,2009-01-01 03:00:00,13.0,82.0,7.7,0.0,0.0,3.0
 01/01  04:00:00,0.0,0.0,60.0,0.0,0.0,0.0,2009-01-01 04:00:00,12.0,94.0,8.2,0.0,0.0,3.0
 01/01  05:00:00,0.0,0.0,60.0,0.0,0.0,0.0,2009-01-01 05:00:00,12.0,88.0,7.2,0.0,0.0,3.0
 01/01  06:00:00,0.0,0.0,60.0,0.0,0.0,0.0,2009-01-01 06:00:00,12.0,88.0,8.2,0.0,0.0,9.0
 01/01  07:00:00,0.0,0.0,60.0,0.0,0.0,0.0,2009-01-01 07:00:00,12.0,88.0,8.2,0.0,0.0,9.0
 01/01  08:00:00,0.0,0.0,60.0,0.0,0.0,0.0,2009-01-01 08:00:00,12.0,88.0,9.3,0.0,0.0,9.0
 01/01  09:00:00,0.0,0.0,60.0,0.0,0.0,0.0,2009-01-01 09:00:00,12.0,82.0,7.7,123.0,22.0,8.0
 01/01  10:00:00,0.0,0.0,60.0,0.0,0.0,0.0,2009-01-01 10:00:00,13.0,82.0,8.8,237.0,54.0,3.0
 01/01  11:00:00,0.0,0.0,60.0,0.0,0.0,0.0,2009-01-01 11:00:00,13.0,82.0,7.7,185.0,81.0,3.0
 01/01  12:00:00,0.0,0.0,60.0,0.0,0.0,0.0,2009-01-01 12:00:00,13.0,88.0,8.2,77.0,95.0,3.0
 01/01  13:00:00,0.0,0.0,60.0,0.0,0.0,0.0,2009-01-01 13:00:00,13.0,88.0,8.2,92.0,78.0,3.0
 01/01  14:00:00,0.0,0.0,60.0,0.0,0.0,0.0,2009-01-01 14:00:00,13.0,88.0,8.8,234.0,46.0,5.0
 01/01  15:00:00,0.0,0.0,60.0,0.0,0.0,0.0,2009-01-01 15:00:00,13.0,88.0,7.2,0.0,22.0,3.0
 01/01  16:00:00,0.0,0.0,60.0,0.0,0.0,0.0,2009-01-01 16:00:00,13.0,82.0,8.2,0.0,5.0,3.0
 01/01  17:00:00,0.0,0.0,60.0,0.0,0.0,0.0,2009-01-01 17:00:00,12.0,88.0,5.7,0.0,0.0,9.0
 01/01  18:00:00,0.0,0.0,60.0,0.0,0.0,0.0,2009-01-01 18:00:00,12.0,88.0,3.6,0.0,0.0,9.0
 01/01  19:00:00,0.0,0.0,60.0,0.0,0.0,0.0,2009-01-01 19:00:00,12.0,88.0,4.6,0.0,0.0,9.0
 01/01  20:00:00,0.0,0.0,60.0,0.0,0.0,0.0,2009-01-01 20:00:00,12.0,88.0,4.6,0.0,0.0,9.0
 01/01  21:00:00,0.0,0.0,60.0,0.0,0.0,0.0,2009-01-01 21:00:00,11.0,94.0,3.6,0.0,0.0,9.0
 01/01  22:00:00,0.0,0.0,60.0,0.0,0.0,0.0,2009-01-01 22:00:00,10.0,93.0,3.6,0.0,0.0,9.0
